"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
pp_med97,postpartum_questionnaire,,radio,"What was the name of medication 97","1, a. Albuterol | 2, b. Glyburide | 3, c. Insulin | 4, d. Levothyroxin (Synthroid) | 5, e. Metoclopromide (Reglan, Primperan) | 6, f. Promethazine (Phenergan or Phenadoz) | 7, g. Other:",,,,,,[pp_med_num]>=97,,,,,,
pp_med97_spec,postpartum_questionnaire,,text,Specify:,,,,,,,[pp_med97]='7',,,,,,
pp_med98,postpartum_questionnaire,,radio,"What was the name of medication 98","1, a. Albuterol | 2, b. Glyburide | 3, c. Insulin | 4, d. Levothyroxin (Synthroid) | 5, e. Metoclopromide (Reglan, Primperan) | 6, f. Promethazine (Phenergan or Phenadoz) | 7, g. Other:",,,,,,[pp_med_num]>=98,,,,,,
pp_med98_spec,postpartum_questionnaire,,text,Specify:,,,,,,,[pp_med98]='7',,,,,,
pp_med99,postpartum_questionnaire,,radio,"What was the name of medication 99","1, a. Albuterol | 2, b. Glyburide | 3, c. Insulin | 4, d. Levothyroxin (Synthroid) | 5, e. Metoclopromide (Reglan, Primperan) | 6, f. Promethazine (Phenergan or Phenadoz) | 7, g. Other:",,,,,,[pp_med_num]>=99,,,,,,
pp_med99_spec,postpartum_questionnaire,,text,Specify:,,,,,,,[pp_med99]='7',,,,,,
pp_fluvax,postpartum_questionnaire,"
<div style=""font-size: 1.5em"">D. INFLUENZA VACCINATION HISTORY</div>
We would now like to ask you about any vaccinations you may have received for the flu since the start of your pregnancy
",radio,"D1. Now, think about the time frame from July 2020 to April 2021 when yearly seasonal or annual flu vaccines were being given for the flu that comes around every winter. Did you receive an influenza vaccine during this time period?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_fluvax_dt_know,postpartum_questionnaire,,radio,"D2. Do you know the date you received the seasonal influenza vaccine? ","1, Yes |0, No | 99, Decline to respond",,,,,,"[pp_fluvax] = '1'",,,,,,
pp_fluvax_dt,postpartum_questionnaire,,text,"D3. On what date did you get the vaccine? 

Best Estimated Date:",,,date_mdy,,,,"[pp_fluvax_dt_know] = '1'",,,,,,
pp_fluvax_yr,postpartum_questionnaire,,text,"D3a. Do you remember the year?

Year:
[Enter 88 if Unknown or 99 if Decline to Respond]",,,,,,,"[pp_fluvax_dt_know] = '0'",,,,,,
pp_fluvax_mon,postpartum_questionnaire,,radio,"D3b. Do you remember the month?","1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December | 88, Unknown | 99, Decline to respond",,,,,,"[pp_fluvax_dt_know] = '0'",,,,,,
pp_fluvax_day,postpartum_questionnaire,,radio,"D3c. Do you remember if the day was the:","1, 1st - 15th of the month | 2, 16th - end of the month | 88, Time of month unknown | 99, Decline to respond",,,,,,"[pp_fluvax_dt_know] = '0'",,,,,,
pp_fluvax_type,postpartum_questionnaire,,radio,"D4. Did you get a shot in the arm or was the vaccine sprayed in your nose? ","1, Shot in arm | 2, Spray in nose | 88, Unknown | 99, Decline to respond",,,,,,"[pp_fluvax] = '1'",,,,,,
pp_fluvax_prov,postpartum_questionnaire,,radio,"D5. From whom did you get your seasonal flu vaccine?","1, OB/GYN and/or midwife's office | 2, Primary care physician's office | 3, Pharmacy/ drugstore | 4, Health department | 5, Employer/work place | 6, Study site | 7, Other (specify)",,,,,,"[pp_fluvax] = '1'",,,,,,
pp_fluvax_prov_spec,postpartum_questionnaire,,text,"D5a. Specify:",,,,,,,"[pp_fluvax_prov] = '7'",,,,,,
pp_fluvax_prov_prompt,postpartum_questionnaire,,descriptive,"Please provide the name, address, phone, and e-mail of this seasonal flu vaccine provider if possible.",,,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_fluvax_prov_prompt2,postpartum_questionnaire,,descriptive,"[NOTE: IF DOCUMENTED IN THE MEDICAL RECORD AT SITE, SKIP PROVIDER CONTACT INFORMATION QUESTIONS.]",,,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,," @HIDDEN-SURVEY"
pp_flu_prov_name,postpartum_questionnaire,,text,"D6. Provider name:
[ENTER 88 IF UNKNOWN OR 99 IF DECLINE TO RESPOND]",,,,,,,"[pp_fluvax] = '1'",,,,,,
pp_flu_prov_add,postpartum_questionnaire,,text,"D7. Provider address: 

[ENTER 88 IF UNKNOWN OR 99 IF DECLINE TO RESPOND] ",,,,,,,"[pp_fluvax] = '1'",,,,,,
pp_flu_prov_phone,postpartum_questionnaire,,text,"D8. Provider phone: 
[ENTER FULL 10 DIGITS]",,,phone,,,,"[pp_fluvax] = '1'",,,,,,
pp_flu_prov_phone_uk,postpartum_questionnaire,,radio,"D8a. [IF PROVIDER PHONE IS UNKNOWN OR DECLINE TO RESPOND] ","88, Unknown | 99, Decline to respond",,,,,,"[pp_fluvax] = '1'",,,,,,
pp_flu_prov_email,postpartum_questionnaire,,text,"D9. Provider e-mail: ",,,email,,,,"[pp_fluvax] = '1'",,,,,,
pp_flu_prov_email_uk,postpartum_questionnaire,,radio,"D9a. [IF PROVIDER E-MAIL IS UNKNOWN OR DECLINE TO RESPOND] ","88, Unknown | 99, Decline to respond",,,,,,"[pp_fluvax] = '1'",,,,,,
pp_c19vax,postpartum_questionnaire,"
<div style=""font-size: 1.25em"">COVID-19 VACCINATION HISTORY</div>

We would now like to ask you about any vaccinations you may have received for COVID-19 since the start of your pregnancy.
",radio,"D10. Have you received a COVID-19 vaccine?","1, Yes | 0, No | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,," @HIDDEN"
pp_c19vax_dt_know,postpartum_questionnaire,,radio,"D11. Do you know the date you received the COVID-19 vaccine? ","1, Yes | 0, No | 99, Decline to respond",,,,,,"[pp_c19vax] = '1'",,,,,," @HIDDEN"
pp_c19vax_dt,postpartum_questionnaire,,text,"D12. On what date did you get the vaccine? ",,,date_mdy,,,,"[pp_c19vax_dt_know] = '1'",,,,,," @HIDDEN"
pp_c19vax_yr,postpartum_questionnaire,,text,"a. Do you remember the year? ",,,integer,2000,,,"[pp_c19vax_dt_know] = '0'",,,,,," @HIDDEN"
pp_c19vax_mon,postpartum_questionnaire,,radio,"b. Do you remember the month?","1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December | 88, Unknown | 99, Decline to respond",,,,,,"[pp_c19vax_dt_know] = '0'",,,,,," @HIDDEN"
pp_c19vax_day,postpartum_questionnaire,,radio,"c. Do you remember if the day was the [READ FIRST TWO OPTIONS]... 
TIME OF THE MONTH:
","1, 1st - 15th of the month | 2, 16th - end of the month | 88, Time of month unknown | 99, Decline to respond",,,,,,"[pp_c19vax_dt_know] = '0'",,,,,," @HIDDEN"
pp_c19vax_type,postpartum_questionnaire,,radio,"D13. Did you get a shot in the arm or another type of vaccine? ","1, Shot in arm | 2, Other type: | 88, Unknown | 99, Decline to respond",,,,,,"[pp_c19vax_dt_know]<>"""" and [pp_c19vax_dt_know] != '99'",,,,,," @HIDDEN"
pp_c19vax_other,postpartum_questionnaire,,text,Specify:,,,,,,,"[pp_c19vax_type] = '2'",,,,,," @HIDDEN"
pp_c19vax_prov,postpartum_questionnaire,,radio,"D14. From whom did you get your COVID-19 vaccine?","1, OB/GYN and/or midwife's office | 2, Primary care physician's office | 3, Pharmacy/ drugstore | 4, Health department | 5, Employer/work place | 6, Study site | 7, Other (specify)",,,,,,"[pp_c19vax_dt_know]<>"""" and [pp_c19vax_dt_know] != '99'",,,,,," @HIDDEN"
pp_c19vax_prov_spec,postpartum_questionnaire,,text,"D14a. Specify: ",,,,,,,"[pp_c19vax_prov] = '7'",,,,,," @HIDDEN"
pp_c19vax_prov_prompt,postpartum_questionnaire,,descriptive,"Please provide the name, address, phone, and e-mail of this COVID-19 vaccine provider if possible.",,,,,,,"[pp_c19vax_dt_know]<>"""" and [pp_c19vax_dt_know] != '99'",,,,,," @HIDDEN"
pp_c19vax_prov_prompt2,postpartum_questionnaire,,descriptive,"[NOTE: IF DOCUMENTED IN THE MEDICAL RECORD AT SITE, SKIP PROVIDER CONTACT INFORMATION QUESTIONS.]  ",,,,,,,"[pp_c19vax_dt_know]<>"""" and [pp_c19vax_dt_know] != '99'",,,,,," @HIDDEN @HIDDEN-SURVEY"
pp_c19_prov_name,postpartum_questionnaire,,text,"D15. Provider name:
[ENTER 88 IF UNKNOWN OR 99 IF DECLINE TO RESPOND]",,,,,,,"[pp_c19vax_dt_know]<>"""" and [pp_c19vax_dt_know] != '99'",,,,,," @HIDDEN"
pp_c19_prov_add,postpartum_questionnaire,,text,"D16. Provider address: 

[ENTER 88 IF UNKNOWN OR 99 IF DECLINE TO RESPOND] ",,,,,,,"[pp_c19vax_dt_know]<>"""" and [pp_c19vax_dt_know] != '99'",,,,,," @HIDDEN"
pp_c19_prov_phone,postpartum_questionnaire,,text,"D17. Provider phone: 
[ENTER FULL 10 DIGITS]",,,phone,,,,"[pp_c19vax_dt_know]<>"""" and [pp_c19vax_dt_know] != '99'",,,,,," @HIDDEN"
pp_c19_prov_phone_uk,postpartum_questionnaire,,radio,,"88, Unknown | 99, Decline to respond",,,,,,"[pp_c19vax_dt_know]<>"""" and [pp_c19vax_dt_know] != '99'",,,,,," @HIDDEN"
pp_c19_prov_email,postpartum_questionnaire,,text,"D18. Provider e-mail: ",,,email,,,,"[pp_c19vax_dt_know]<>"""" and [pp_c19vax_dt_know] != '99'",,,,,," @HIDDEN"
pp_c19_prov_email_uk,postpartum_questionnaire,,radio,,"88, Unknown | 99, Decline to respond",,,,,,"[pp_c19vax_dt_know]<>"""" and [pp_c19vax_dt_know] != '99'",,,,,," @HIDDEN"
pp_newjob,postpartum_questionnaire,"
<div style=""font-size: 1.5em"">E. PSYCHOSOCIAL STRESSORS</div>
<i>In the next few questions, we will list several major events or changes that sometimes happen in people's lives.  Please indicate if any of these events have happened to you from 6 months before your last menstrual period until the end of your pregnancy.  That is, from 6 months before you became pregnant until the end of your pregnancy. </i>
",radio,"E1. Did you or your husband or partner start a new job?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_losejob,postpartum_questionnaire,,radio,"E2. Did you or your husband or partner lose a job?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_workprobs,postpartum_questionnaire,,radio,"E3.  Did you have problems with your supervisor or co-worker?","1, Yes | 0, No | 77, Not applicable | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_ill_injury,postpartum_questionnaire,,radio,"E4. Did you have a serious illness or injury?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_ill_injury_fam,postpartum_questionnaire,,radio,"E5. Did a close family member such as a husband, partner, parent, child, or sibling have a serious illness or injury?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_death_fam,postpartum_questionnaire,,radio,"E6. Was there a death of a close family member such as a husband, partner, parent, child, or sibling?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_death_friend,postpartum_questionnaire,,radio,"E7. Did a close friend die?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_maritialprob,postpartum_questionnaire,,radio,"E8. Were you separated or divorced, or did you experience serious difficulties with your husband or partner?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_financialprob,postpartum_questionnaire,,radio,"E9. Were there serious legal or financial problems for you or your husband or partner?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_rel_pregloss,postpartum_questionnaire,,radio,"E10. Did a relative or a close friend lose a pregnancy?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_rel_premature,postpartum_questionnaire,,radio,"E11. Did a relative or a close friend have a child born prematurely or with significant problems?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_move,postpartum_questionnaire,,radio,"E12. Did you move to a new house or apartment? ","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_rel_mentalhealth,postpartum_questionnaire,,radio,"E13. Did a close friend or close family member have a problem with an addiction or mental illness?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_rel_moved,postpartum_questionnaire,,radio,"E14. Did you move away or were you separated from a close family member or a close friend?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_disagree,postpartum_questionnaire,,radio,"E15. Did you have serious problems or disagreements with relatives, neighbors, or friends?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_violence,postpartum_questionnaire,,radio,"E16. Were you or a family member a victim of violence or crime?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_oth_stress,postpartum_questionnaire,,radio,"E17. Did any other events occur that you thought were stressful or traumatic?","1, Yes | 0, No | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_oth_stress_spec,postpartum_questionnaire,,text,"E17a. Please specify the event: ",,,,,,,"[pp_oth_stress] = '1'",,,,,,
pp_sample,postpartum_questionnaire,"
<div style=""font-size: 1.5em"">F. RESPIRATORY SAMPLE COLLECTION ACCEPTABILITY</div>
",radio,"F1. How easy would you say it has been to collect respiratory samples and mail them as part of this study?","1, Very easy | 2, Somewhat easy | 3, Not too easy | 4, Not at all easy | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_sample_probs,postpartum_questionnaire,,text,"F1a. Please describe any problems you encountered that did not make it easy to collect respiratory samples? ",,,,,,,"[pp_sample]<>"""" and [pp_sample] != '1'",,,,,,
pp_mail,postpartum_questionnaire,,radio,"F2. How easy would you say it has been to mail respiratory samples as part of this study?","1, Very easy | 2, Somewhat easy | 3, Not too easy | 4, Not at all easy | 88, Unknown | 99, Decline to respond",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_mail_prob,postpartum_questionnaire,,text,"F2a. Please describe any problems you encountered that did not make it easy to mail respiratory samples? ",,,,,,,"[pp_mail]<>"""" and [pp_mail] != '1'",,,,,,
pp_cov_study,postpartum_questionnaire,"
<div style=""font-size: 1.5em"">G. PARTICIPATION IN OTHER COVID-19 STUDIES</div>

",radio,"G1. Since you enrolled in this study, have you enrolled/participated in another study related to COVID-19?","1, Yes | 0, No | 88, Unknown | 99, Refused",,,,,,"[pp_rec_infdeath_2]='1' or [pp_outcome] = '1' or [pp_outcome]='2'",,,,,,
pp_cov_study_spec,postpartum_questionnaire,,text,"G1a. What is the name of the study?",,,,,,,[pp_cov_study]='1',,,,,,
pp_end,postpartum_questionnaire," ",descriptive,"
<div style=""font-size: 1.25em"">END OF QUESTIONNAIRE</div>
",,,,,,,,,,,,,
sp_pp_studyid,cuestionario_posparto,"NOTA: ANTES DE PONERSE EN CONTACTO CON LA PARTICIPANTE, VERIFIQUE EL ARCHIVO MÉDICO ELECTRÓNICO PARA EVIDENCIA DE PÉRDIDA DE EMBARAZO O MUERTE DEL BEBÉ DESPUÉS DEL NACIMIENTO.",text,"ID del Estudio:",,,,,,,,,,,,," @HIDDEN-SURVEY @READONLY @DEFAULT='[study_id]'"
sp_pp_staff,cuestionario_posparto,,text,"Iniciales del Personal del Estudio/código:",,,,,,,,,,,,," @HIDDEN-SURVEY"
sp_pp_date,cuestionario_posparto,,text,"Fecha de la entrevista posparto:",,mm-dd-aaaa,date_mdy,,,,,,,,,," @TODAY @HIDDEN-SURVEY"
sp_pp_rec_loss,cuestionario_posparto,,radio,"A1. ¿Hay algún indicio de pérdida del embarazo en el historial médico?","1, Sí | 0, No",,,,,,,,,,,," @HIDDEN-SURVEY"
sp_pp_rec_infdeath,cuestionario_posparto,,radio,"A2. ¿Hay algún indicio de muerte del bebé en el historial médico?","1, Sí | 0, No",,,,,,"[sp_pp_rec_loss] = '0'",,,,,," @HIDDEN-SURVEY"
sp_pp_rec_infdeath_no,cuestionario_posparto,,descriptive,"<div class=""rich-text-field-label""><p> </p> <div style=""font-size: 1.25em;""><span style=""font-weight: normal;"">Enviar enlace web para cuestionario</span> guardando el formulario al final de esta página.</div> <p> </p></div>",,,,,,,"[sp_pp_rec_infdeath] = '0'",,,,,,
sp_pp_rec_infdeath_yes,cuestionario_posparto,,descriptive,"
<div style=""font-size: 1.25em"">Complete este cuestionario por teléfono y comience con A4</div>",,,,,,,[sp_pp_rec_infdeath]='1',,,,,,
sp_pp_prompt,cuestionario_posparto,,descriptive,"<div class=""rich-text-field-label""><p>Nota: Este guión telefónico sólo debe realizarse en caso de que la participante no pueda completar el Cuestionario Posparto en línea o si hay evidencia en el Registro Médico Electrónico de una pérdida de embarazo o muerte infantil.</p> <p> </p> <p style=""margin: 16px 0px;""><strong><em>Guión telefónico:</em></strong></p> <p style=""margin: 0px;""><span style=""font-weight: normal;"">Hola, ¿puedo hablar con [NOMBRE Y APELLIDO DE LA PARTICIPANTE]?</span></p> <p style=""margin: 0px;""> </p> <p style=""margin: 0px; line-height: 12pt;""><strong>SI ESTÁ DISPONIBLE, CONTINÚE. SI NO ESTÁ DISPONIBLE, PREGUNTE CUÁNDO PUEDE VOLVER A LLAMAR. NO DEJE INFORMACIÓN ESPECÍFICA ACERCA DEL ESTUDIO CON NADIE MÁS QUE LA PARTICIPANTE.</strong></p> <p style=""margin: 16px 0px;""><strong><em> </em></strong></p> <p style=""margin: 16px 0px;""><span style=""font-weight: normal;""><em>Hola señora [Participante]. Yo soy [personal del estudio] con [site]. Le llamo sobre como parte del estudio de investigación COVID-19 en el que se inscribió durante su visita anterior para atención prenatal en [Site]. Este registro tardará aproximadamente 2 minutos. ¿Es este un buen momento para hablar?</em></span></p> <p style=""margin: 16px 0px 16px 60px;""><strong>No:</strong><strong> </strong><em><span style=""font-weight: normal;"">¿Hay un mejor momento en el que pueda volver a llamarle más tarde, hoy?</span></em><span style=""font-weight: normal;""> <strong>Programe una hora alternativa para hablar. </strong><em>Gracias, espero poder hablar con usted el [Fecha] a las [Hora]. Adiós.</em></span></p> <p style=""margin: 16px 0px 16px 60px;""><strong><em>Sí</em></strong><em>:</em><strong> </strong><span style=""font-weight: normal;""><em>Gracias. </em></span><strong>Continúe con la encuesta</strong></p></div>",,,,,,,[event_0_arm_1][s_language(2)]='1',,,,,," @HIDDEN-SURVEY"
sp_pp_outcome,cuestionario_posparto,"
<div style=""font-size: 1.5em"">PREGUNTAS SOBRE PARTO Y BEBÉ</div>
Primero, le haremos algunas preguntas sobre su parto y sobre cómo está su bebé.",radio,"A3. ¿Cuál fue el resultado de su reciente embarazo?","1, Bebé nacido por parto vaginal | 2, Bebé nacido por cesárea | 3, Pérdida del embarazo",,,,,,"[sp_pp_rec_infdeath] = '0'",,,,,,
sp_pp_outcome_note,cuestionario_posparto,,descriptive,"A3 NOTA: [Si se completa por teléfono: NO LEA TODAS LAS OPCIONES A MENOS QUE SE NECESITE COMO ACLARACIÓN. SI SE NECESITA COMO ACLARACIÓN, LEA LAS DOS PRIMERAS OPCIONES.]",,,,,,,"[sp_pp_rec_infdeath] = '0'",,,,,," @HIDDEN-SURVEY"
sp_pp_rec_infdeath_2,cuestionario_posparto,,radio,"A4. Lamentamos su reciente pérdida. Al final de este cuestionario, nos gustaría brindarle información sobre algunos recursos donde puede encontrar apoyo adicional si lo necesita. Antes de continuar, ¿podemos hacerle algunas preguntas adicionales sobre su salud durante su embarazo y cómo le ha ido? Sus respuestas ayudarán a nuestro estudio a comprender y mejorar la salud de las mujeres embarazadas y los bebés.","1, Sí | 0, No",,,,,,"[sp_pp_rec_loss] = '1' or [sp_pp_rec_infdeath] = '1' or [sp_pp_outcome] = '3'",,,,,,
sp_pp_defect,cuestionario_posparto,,radio,"A5. ¿Le diagnosticaron a usted un defecto congénito en algún momento durante su embarazo?","1, SÍ | 0, No | 88, No sabe | 99, No desea responder",,,,,,"[sp_pp_outcome] = '1' or [sp_pp_outcome] = '2'",,,,,,
sp_pp_defect_spec,cuestionario_posparto,,checkbox,"a. Indique el defecto congénito (marque todos los que correspondan):","1, Defecto cardíaco congénito | 2, Pie zambo/torcido | 3, Labio leporino o paladar hendido | 4, Espina bífida | 5, Extremidades faltantes o no desarrolladas | 6, Otro",,,,,,"[sp_pp_defect] = '1'",,,,,,
sp_pp_defect_other,cuestionario_posparto,,text,"A5a_spec. Especifique:",,,,,,,"[sp_pp_defect_spec(6)] = '1'",,,,,,
sp_pp_babies,cuestionario_posparto,,text,"A6. ¿Cuántos bebés nacieron?",,,integer,,,,"[sp_pp_outcome] = '1' or [sp_pp_outcome]='2'",,,,,,
sp_pp_repeat_a7,cuestionario_posparto,,descriptive,"REPITA PARA CADA BEBÉ NACIDO HASTA CUATRO BEBÉS",,,,,,,"[sp_pp_babies] >= 1",,,,,,
sp_pp_b1_weight,cuestionario_posparto,,descriptive,"A7. 1. ¿Cuál fue el peso del bebé al nacer?",,,,,,,"[sp_pp_babies] >= 1",,,,,,
sp_pp_b1_weight_lbs,cuestionario_posparto,,text,Libras:,,,integer,0,,,"[sp_pp_babies] >= 1",,,,,,
sp_pp_b1_weight_oz,cuestionario_posparto,,text,Onzas:,,,integer,0,,,"[sp_pp_babies] >= 1",,,,,,
sp_pp_b1_dob,cuestionario_posparto,,text,"1. a. ¿Cuál fue la fecha de parto del bebé?",,mm-dd-aaaa,date_mdy,,,,"[sp_pp_babies] >= 1",,,,,,
sp_pp_b1_wks,cuestionario_posparto,,text,"1. b. ¿A las cuántas semanas dio a luz al bebé?",,,integer,0,,,"[sp_pp_babies] >= 1",,,,,,
sp_pp_b2_weight,cuestionario_posparto,,descriptive,"A7. 2. ¿Cuál fue el peso del bebé al nacer?",,,,,,,"[sp_pp_babies] >= 2",,,,,,
sp_pp_b2_weight_lbs,cuestionario_posparto,,text,Libras:,,,integer,0,,,"[sp_pp_babies] >= 2",,,,,,
sp_pp_b2_weight_oz,cuestionario_posparto,,text,Onzas:,,,integer,0,,,"[sp_pp_babies] >= 2",,,,,,
sp_pp_b2_dob,cuestionario_posparto,,text," a. 2. ¿Cuál fue la fecha de parto del bebé?",,mm-dd-aaaa,date_mdy,,,,"[sp_pp_babies] >= 2",,,,,,
sp_pp_b2_wks,cuestionario_posparto,,text," b.  2. ¿A las cuántas semanas dio a luz al bebé?",,,integer,0,,,"[sp_pp_babies] >= 2",,,,,,
sp_pp_b3_weight,cuestionario_posparto,,descriptive,"A7. 3. ¿Cuál fue el peso del bebé al nacer?",,,,,,,"[sp_pp_babies] >= 3",,,,,,
sp_pp_b3_weight_lbs,cuestionario_posparto,,text,Libras:,,,integer,0,,,"[sp_pp_babies] >= 3",,,,,,
sp_pp_b3_weight_oz,cuestionario_posparto,,text,Onzas:,,,integer,0,,,"[sp_pp_babies] >= 3",,,,,,
sp_pp_b3_dob,cuestionario_posparto,,text," a. 3. ¿Cuál fue la fecha de parto del bebé?",,mm-dd-aaaa,date_mdy,,,,"[sp_pp_babies] >= 3",,,,,,
sp_pp_b3_wks,cuestionario_posparto,,text," b. 3. ¿A las cuántas semanas dio a luz al bebé?",,,,,,,"[sp_pp_babies] >= 3",,,,,,
sp_pp_b4_weight,cuestionario_posparto,,descriptive,"A7. 4. ¿Cuál fue el peso del bebé al nacer?",,,,,,,"[sp_pp_babies] >= 4",,,,,,
sp_pp_b4_weight_lbs,cuestionario_posparto,,text,Libras:,,,integer,0,,,"[sp_pp_babies] >= 4",,,,,,
sp_pp_b4_weight_oz,cuestionario_posparto,,text,Onzas:,,,integer,0,,,"[sp_pp_babies] >= 4",,,,,,
sp_pp_b4_dob,cuestionario_posparto,,text,"a. 4. ¿Cuál fue la fecha de parto del bebé?",,mm-dd-aaaa,date_mdy,,,,"[sp_pp_babies] >= 4",,,,,,
sp_pp_b4_wks,cuestionario_posparto,,text,"b. 4. ¿A las cuántas semanas dio a luz al bebé?",,,integer,0,,,"[sp_pp_babies] >= 4",,,,,,
sp_pp_bb_admit,cuestionario_posparto,,radio,"A8. ¿Fue su bebé admitido en un hospital o pasó la noche en un hospital por alguna enfermedad o complicación desde que se fue a casa después de la hospitalización del parto?","1, Sí | 0, No",,,,,,"[sp_pp_outcome] = '1' or [sp_pp_outcome]='2'",,,,,,
sp_pp_bb_admit_num,cuestionario_posparto,,text,"A8a. ¿Cuántas veces fue hospitalizado su bebé? ",,,integer,0,,,[sp_pp_bb_admit]='1',,,,,,
sp_pp_bb_admit_reas,cuestionario_posparto,,text,"A8b. Comenzando con la primera hospitalización, ¿cuál fue el motivo de la primera hospitalización de su bebé?",,,,,,,[sp_pp_bb_admit]='1',,,,,,
sp_pp_bb_admit_dt,cuestionario_posparto,,text,"A8c. ¿Cuál fue la fecha de admisión de su bebé?",,mm-dd-aaaa,date_mdy,,,,[sp_pp_bb_admit]='1',,,,,,
sp_pp_bb_discharge_dt,cuestionario_posparto,,text,"A8d. ¿Cuál fue la fecha de alta de su bebé?",,mm-dd-aaaa,date_mdy,,,,[sp_pp_bb_admit]='1',,,,,,
sp_pp_bb_admit_check,cuestionario_posparto,,descriptive,"Asegúrese de que la fecha de admisión no sea posterior a la fecha del alta.",,,,,,,"datediff([sp_pp_bb_discharge_dt],[sp_pp_bb_admit_dt],""d"",true) <0",,,,,,
sp_pp_bb_hosp,cuestionario_posparto,,text,"A8e. ¿En qué hospital fue admitido su bebé?",,,,,,,[sp_pp_bb_admit]='1',,,,,,
sp_pp_bb_hosp_reas,cuestionario_posparto,,text,"A8f. ¿Cuál fue el motivo de la hospitalización de su bebé?",,,,,,,[sp_pp_bb_admit]='1',,,,,,
